# FIRENZE V6.3
#
# Close Approach output file for integration on 2023-02-08 17:26:13.537507
# Configuration file used: /home/cgregg/codes/PhD_Work/InterstellarMeteoroids/GalacticSimulation/Gaia_DR3_4472832130942575872_110Myr_2000x1Myr.cfg
# Galactic Simulation
# Galactic parameters [M a b] - (Solar masses AU AU):
# Bulge: [14000000000.0, 0.0, 72192682.625] Disk: [79100000000.0, 721926826.25, 51566201.875] Halo: [698000000000.0, 0.0, 4950355380.0]
# Solar parameters [AU, AU/yr]:
# pos = [ 1.50253513e+09 -9.05737086e+08 -1.87942738e+07] vel = [-22.21125568 -42.15195327   0.34297791]
# Galactic Potential: 0 (0-Bailer-Jones 2015, 1-Dybczynski & Berski 2015)
# Integration Method: 2 (0-Euler, 1-RK4, 2-RKF)
# Time-step error tolerance (For RKF): 1e-06
# Initial time-step: 999.9811137685292
# Output every 1000.0 iterations
# heliocentric Distance calculation setting: 3
# 	[0-never, 1 - At the end, 2-When writing to file, 3-Every step]
# Number of initial particles: 2
# Integration lasting for 110000000.0 yrs
# Integrating the following bodies in the Milky Way starting at JD=-36523273294.125
#############################################################################################################
t x y z vx vy vz body jd aprnt_x aprnt_y aprnt_z aprnt_vel_x aprnt_vel_y aprnt_vel_z helio_dist CloseApproachFlag
99973111.84900871 -1718227443.40541 -1249923.88802 +5563482.77639 -27.54438 +49.58901 +5.40789 Gaia_DR3_4472832130942575872_debris_-9074735794.125_604 -7404544.125 +21144.38827 +61442.19641 +35641.04959 -29.85038 +1.01898 +3.87739 74111.491 1
99973111.84900871 -1718261678.75679 -1388944.55012 +5477539.03093 -27.55223 +49.58354 +5.41078 Gaia_DR3_4472832130942575872_debris_-7976794294.125_781 -7404544.125 -13090.96311 -77578.46569 -50302.69587 -29.85824 +1.01351 +3.88028 93381.759 1
99973111.84900871 -1718252080.36867 -1326623.66999 +5576280.45407 -28.93665 +49.36917 +5.49235 Gaia_DR3_4472832130942575872_debris_-291203794.125_882 -7404544.125 -3492.57500 -15257.58556 +48438.72727 -31.24265 +0.79914 +3.96185 50904.836 1
99974111.83012247 -1718254986.60164 -1200335.81850 +5568890.54287 -27.54306 +49.58901 +5.40785 Gaia_DR3_4472832130942575872_debris_-9074735794.125_604 -7039294.125 -8705.43229 +62461.16024 +39518.36410 -29.85038 +1.01898 +3.87739 74423.667 1
99974111.83012247 -1718289229.80511 -1339361.94927 +5482949.69099 -27.55091 +49.58354 +5.41074 Gaia_DR3_4472832130942575872_debris_-7976794294.125_781 -7039294.125 -42948.63576 -76564.97052 -46422.48778 -29.85824 +1.01351 +3.88028 99306.734 1
99974111.83012247 -1718281015.80852 -1277255.43603 +5581772.68166 -28.93533 +49.36917 +5.49231 Gaia_DR3_4472832130942575872_debris_-291203794.125_882 -7039294.125 -34734.63917 -14458.45728 +52400.50289 -31.24265 +0.79914 +3.96185 64508.564 1
99975111.81123625 -1718282528.48034 -1150747.74806 +5574298.26891 -27.54174 +49.58901 +5.40781 Gaia_DR3_4472832130942575872_debris_-9074735794.125_604 -6674044.125 -38555.25287 +63480.12403 +43395.67833 -29.85038 +1.01898 +3.87739 86019.873 1
99975111.81123625 -1718309949.93085 -1227887.20108 +5587264.86873 -28.93401 +49.36917 +5.49227 Gaia_DR3_4472832130942575872_debris_-291203794.125_882 -6674044.125 -65976.70338 -13659.32899 +56362.27815 -31.24265 +0.79914 +3.96185 87841.955 1
99977111.77346379 -1718226648.15314 -1045844.21901 +5477738.74949 -28.75059 +49.47582 +5.33811 Gaia_DR3_4472832130942575872_debris_-291203794.125_874 -5943544.125 +12705.23797 +71245.43702 -56224.54420 -31.06187 +0.90580 +3.80777 91643.520 1
99978111.75457755 -1718162680.02150 -1054306.69508 +5472724.09540 -27.51747 +49.58637 +5.41146 Gaia_DR3_4472832130942575872_debris_-13832482294.125_954 -5578294.125 +74361.47510 +14213.85162 -62769.48957 -29.83007 +1.01634 +3.88116 98344.656 1
